version,status,timestamp,latitude,longitude,altitude,roll,pitch,heading,latitude_sigma,longitude_sigma,altitude_sigma,roll_sigma,pitch_sigma,heading_sigma,a_sigma,b_sigma,c_sigma,quality,number_of_satellites,hdop
0,0,88863833,37.5775051377,126.897509854,15.8851537704,1.84102797508,-0.481284558773,-132.283401489,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88873789,37.5775046106,126.897510554,15.885725975,1.86343061924,-0.51348477602,-132.270523071,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88883929,37.5775040819,126.897511257,15.8863887787,1.87609302998,-0.545341253281,-132.261871338,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88893949,37.5775035584,126.897511958,15.8873968124,1.89179205894,-0.574963152409,-132.248916626,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88906325,37.5775030338,126.897512655,15.8880252838,1.90657436848,-0.599600315094,-132.238723755,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88914210,37.5775025072,126.897513355,15.8885917664,1.93356072903,-0.628878474236,-132.221237183,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88925414,37.5775019862,126.897514054,15.8896036148,1.94295716286,-0.661995410919,-132.208007813,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88934079,37.5775014642,126.897514747,15.8902378082,1.9689694643,-0.692362189293,-132.192932129,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88946228,37.5775009405,126.897515444,15.8908500671,1.99383580685,-0.726682364941,-132.177642822,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88954227,37.5775004221,126.897516139,15.8918962479,2.01159763336,-0.76054418087,-132.164291382,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88964074,37.5774999033,126.897516831,15.892572403,2.03606271744,-0.792744398117,-132.149276733,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88974048,37.5774993818,126.897517524,15.8931541443,2.0524494648,-0.826950013638,-132.133743286,0,0,0,0,0,0,0,0,0,5,6,0
