version,status,timestamp,latitude,longitude,altitude,heading,latitude_sigma,longitude_sigma,altitude_sigma,heading_sigma,quality,number_of_satellites,HDOP
0,0,37213256,37.5288106853,126.516550344,0,128.560501099,0,0,0,0,0,0,0
0,0,37223264,37.5288105096,126.516550067,0,128.555862427,0,0,0,0,0,0,0
0,0,37233306,37.5288103333,126.51654979,0,128.546936035,0,0,0,0,0,0,0
0,0,37243298,37.528810158,126.516549513,0,128.537063599,0,0,0,0,0,0,0
0,0,37253283,37.528809983,126.516549238,0,128.528839111,0,0,0,0,0,0,0
0,0,37263305,37.5288098076,126.516548961,0,128.52116394,0,0,0,0,0,0,0
0,0,37273592,37.5288096276,126.516548677,0,128.514221191,0,0,0,0,0,0,0
0,0,37283448,37.5288094551,126.516548405,0,128.508560181,0,0,0,0,0,0,0
0,0,37293554,37.5288092785,126.516548126,0,128.503265381,0,0,0,0,0,0,0
0,0,37303293,37.5288091084,126.516547858,0,128.500793457,0,0,0,0,0,0,0
0,0,37313405,37.5288089319,126.516547579,0,128.494735718,0,0,0,0,0,0,0
0,0,37323320,37.5288087588,126.516547306,0,128.493026733,0,0,0,0,0,0,0
0,0,37333637,37.5288085788,126.516547022,0,128.491439819,0,0,0,0,0,0,0
0,0,37343287,37.5288084105,126.516546756,0,128.484588623,0,0,0,0,0,0,0
0,0,37353307,37.528808236,126.51654648,0,128.48097229,0,0,0,0,0,0,0
0,0,37363320,37.5288080618,126.516546205,0,128.47845459,0,0,0,0,0,0,0
0,0,37373247,37.5288078892,126.516545932,0,128.474822998,0,0,0,0,0,0,0
0,0,37383754,37.5288077065,126.516545644,0,128.468231201,0,0,0,0,0,0,0
0,0,37393347,37.5288075398,126.51654538,0,128.463165283,0,0,0,0,0,0,0
0,0,37403456,37.5288073644,126.516545103,0,128.456832886,0,0,0,0,0,0,0
0,0,37413246,37.5288071948,126.516544835,0,128.447555542,0,0,0,0,0,0,0
0,0,37423548,37.5288070167,126.516544553,0,128.443984985,0,0,0,0,0,0,0
0,0,37433271,37.5288068487,126.516544288,0,128.435089111,0,0,0,0,0,0,0
0,0,37443464,37.5288066728,126.516544009,0,128.426940918,0,0,0,0,0,0,0
0,0,37453681,37.5288064966,126.51654373,0,128.419128418,0,0,0,0,0,0,0
0,0,37463367,37.5288063297,126.516543466,0,128.409484863,0,0,0,0,0,0,0
0,0,37473272,37.5288061592,126.516543196,0,128.399963379,0,0,0,0,0,0,0
0,0,37483326,37.5288059864,126.516542922,0,128.394256592,0,0,0,0,0,0,0
0,0,37493252,37.5288058159,126.516542652,0,128.388305664,0,0,0,0,0,0,0
0,0,37503407,37.5288056417,126.516542376,0,128.380737305,0,0,0,0,0,0,0
0,0,37513277,37.5288054728,126.516542108,0,128.374511719,0,0,0,0,0,0,0
0,0,37523311,37.5288053013,126.516541836,0,128.368133545,0,0,0,0,0,0,0
0,0,37533264,37.5288051315,126.516541567,0,128.360855103,0,0,0,0,0,0,0
0,0,37543384,37.528804959,126.516541294,0,128.353713989,0,0,0,0,0,0,0
0,0,37553625,37.5288047846,126.516541017,0,128.352630615,0,0,0,0,0,0,0
0,0,37563271,37.5288046205,126.516540756,0,128.345214844,0,0,0,0,0,0,0
0,0,37573521,37.5288044464,126.51654048,0,128.339614868,0,0,0,0,0,0,0
0,0,37583379,37.5288042793,126.516540215,0,128.333465576,0,0,0,0,0,0,0
0,0,37593424,37.5288041095,126.516539945,0,128.327651978,0,0,0,0,0,0,0
0,0,37603321,37.5288039423,126.516539679,0,128.323684692,0,0,0,0,0,0,0
0,0,37613332,37.5288037732,126.516539411,0,128.319549561,0,0,0,0,0,0,0
0,0,37623295,37.5288036051,126.516539144,0,128.313720703,0,0,0,0,0,0,0
0,0,37633281,37.528803437,126.516538877,0,128.312362671,0,0,0,0,0,0,0
0,0,37643286,37.5288032689,126.516538609,0,128.307006836,0,0,0,0,0,0,0
0,0,37653396,37.5288030995,126.51653834,0,128.302886963,0,0,0,0,0,0,0
0,0,37663429,37.5288029318,126.516538074,0,128.297821045,0,0,0,0,0,0,0
0,0,37673234,37.5288027682,126.516537813,0,128.292205811,0,0,0,0,0,0,0
0,0,37683671,37.5288025941,126.516537537,0,128.289337158,0,0,0,0,0,0,0
0,0,37693313,37.5288024337,126.516537281,0,128.282852173,0,0,0,0,0,0,0
0,0,37703363,37.5288022668,126.516537016,0,128.273864746,0,0,0,0,0,0,0
0,0,37713314,37.5288021021,126.516536754,0,128.271179199,0,0,0,0,0,0,0
0,0,37723484,37.5288019342,126.516536487,0,128.265640259,0,0,0,0,0,0,0
0,0,37733238,37.5288017735,126.516536231,0,128.259475708,0,0,0,0,0,0,0
0,0,37743392,37.5288016062,126.516535964,0,128.252639771,0,0,0,0,0,0,0
0,0,37753291,37.5288014434,126.516535705,0,128.247039795,0,0,0,0,0,0,0
0,0,37763360,37.5288012781,126.516535442,0,128.240127563,0,0,0,0,0,0,0
0,0,37773258,37.5288011161,126.516535184,0,128.233261108,0,0,0,0,0,0,0
0,0,37784082,37.5288009393,126.516534902,0,128.22505188,0,0,0,0,0,0,0
0,0,37793812,37.5288007805,126.516534649,0,128.218307495,0,0,0,0,0,0,0
0,0,37803278,37.5288006262,126.516534403,0,128.210678101,0,0,0,0,0,0,0
0,0,37813725,37.5288004562,126.516534132,0,128.201766968,0,0,0,0,0,0,0
0,0,37823331,37.5288003004,126.516533883,0,128.197433472,0,0,0,0,0,0,0
0,0,37833572,37.5288001347,126.516533619,0,128.187316895,0,0,0,0,0,0,0
0,0,37843361,37.5287999766,126.516533366,0,128.181030273,0,0,0,0,0,0,0
0,0,37853550,37.5287998123,126.516533104,0,128.173355103,0,0,0,0,0,0,0
0,0,37863284,37.5287996557,126.516532854,0,128.16545105,0,0,0,0,0,0,0
0,0,37873440,37.5287994925,126.516532593,0,128.158416748,0,0,0,0,0,0,0
0,0,37883358,37.5287993336,126.516532339,0,128.15473938,0,0,0,0,0,0,0
0,0,37893340,37.5287991742,126.516532084,0,128.151428223,0,0,0,0,0,0,0
0,0,37903367,37.5287990145,126.516531829,0,128.148803711,0,0,0,0,0,0,0
0,0,37913253,37.5287988575,126.516531578,0,128.14541626,0,0,0,0,0,0,0
0,0,37923267,37.5287986987,126.516531324,0,128.140258789,0,0,0,0,0,0,0
0,0,37933314,37.5287985397,126.51653107,0,128.139175415,0,0,0,0,0,0,0
0,0,37943281,37.5287983819,126.516530818,0,128.133651733,0,0,0,0,0,0,0
0,0,37953298,37.5287982235,126.516530564,0,128.126937866,0,0,0,0,0,0,0
0,0,37963708,37.5287980592,126.516530301,0,128.119567871,0,0,0,0,0,0,0
0,0,37973352,37.5287979075,126.516530059,0,128.111785889,0,0,0,0,0,0,0
0,0,37983595,37.5287977468,126.516529801,0,128.10496521,0,0,0,0,0,0,0
0,0,37993320,37.5287975947,126.516529558,0,128.100067139,0,0,0,0,0,0,0
0,0,38003504,37.5287974358,126.516529303,0,128.093139648,0,0,0,0,0,0,0
0,0,38013262,37.5287972839,126.51652906,0,128.087661743,0,0,0,0,0,0,0
0,0,38023391,37.5287971264,126.516528808,0,128.079467773,0,0,0,0,0,0,0
0,0,38033269,37.528796973,126.516528562,0,128.070068359,0,0,0,0,0,0,0
0,0,38043364,37.5287968165,126.516528311,0,128.065444946,0,0,0,0,0,0,0
0,0,38053352,37.5287966621,126.516528063,0,128.060012817,0,0,0,0,0,0,0
0,0,38063282,37.528796509,126.516527818,0,128.051727295,0,0,0,0,0,0,0
0,0,38073339,37.5287963545,126.51652757,0,128.048110962,0,0,0,0,0,0,0
0,0,38083349,37.5287962009,126.516527324,0,128.04107666,0,0,0,0,0,0,0
0,0,38093286,37.5287960487,126.516527079,0,128.034439087,0,0,0,0,0,0,0
0,0,38103254,37.5287958964,126.516526835,0,128.028869629,0,0,0,0,0,0,0
0,0,38113772,37.528795736,126.516526577,0,128.022857666,0,0,0,0,0,0,0
0,0,38123318,37.5287955908,126.516526344,0,128.01953125,0,0,0,0,0,0,0
0,0,38133552,37.5287954355,126.516526095,0,128.013259888,0,0,0,0,0,0,0
0,0,38143326,37.5287952876,126.516525857,0,128.010543823,0,0,0,0,0,0,0
0,0,38153459,37.5287951347,126.516525612,0,128.006851196,0,0,0,0,0,0,0
0,0,38163292,37.5287949869,126.516525374,0,127.99937439,0,0,0,0,0,0,0
0,0,38173368,37.528794836,126.516525132,0,127.991218567,0,0,0,0,0,0,0
0,0,38183386,37.5287946863,126.516524891,0,127.991004944,0,0,0,0,0,0,0
0,0,38193274,37.5287945389,126.516524654,0,127.986679077,0,0,0,0,0,0,0
0,0,38203347,37.5287943892,126.516524413,0,127.984008789,0,0,0,0,0,0,0
0,0,38213280,37.528794242,126.516524177,0,127.977127075,0,0,0,0,0,0,0
0,0,38223322,37.5287940936,126.516523938,0,127.9766922,0,0,0,0,0,0,0
0,0,38233311,37.5287939463,126.516523701,0,127.975669861,0,0,0,0,0,0,0
0,0,38243705,37.5287937932,126.516523455,0,127.972465515,0,0,0,0,0,0,0
0,0,38253263,37.5287936527,126.516523229,0,127.967956543,0,0,0,0,0,0,0
0,0,38263600,37.5287935013,126.516522985,0,127.967002869,0,0,0,0,0,0,0
0,0,38273249,37.5287933604,126.516522758,0,127.961853027,0,0,0,0,0,0,0
0,0,38283513,37.5287932109,126.516522518,0,127.954208374,0,0,0,0,0,0,0
0,0,38293529,37.5287930653,126.516522283,0,127.953933716,0,0,0,0,0,0,0
0,0,38303470,37.5287929211,126.516522051,0,127.947616577,0,0,0,0,0,0,0
0,0,38313330,37.5287927784,126.516521822,0,127.945083618,0,0,0,0,0,0,0
